招生学院	所在校区	一级学科	报考专业代码	二级学科	专硕or学硕	一年学费	排名方式	专业学制	专业说明	政治	外语	业务课一	业务课二	科目一	科目二	初试参考书名称	作者	版本号	出版社	说明	初试参考书图片名称	复试参考书名称	作者	版本号	出版社	说明	复试参考书图片名称	拟录取名单	复试名单	2022	2021	2020
信息科学与工程学部	西海岸校区	电子信息	085400	电子信息（计算机技术方向）	专硕	10000		三年	属于计算机科学与技术学院(系)	101思想政治理论	204英语二	302数学二	408计算机综合	F0211程序设计实践（上机）		C程序设计#软件工程导论#C程序设计试题汇编#计算机算法设计与分析#数据结构	谭浩强#张海藩#谭浩强#王晓东#严蔚敏，吴伟民	第五版#第六版#第三版#第五版#-	清华大学#清华大学#清华大学#中国工信出版社#清华大学	C++也是可以的，看个人情况#大纲中只考6、7、13章，大家要有针对性的复习，基本不会超出考纲。#拿来练手的题库，往年有很多原题，近几年出现的少了，但是可以增强刷题能力。#算法在大纲中有提到，包括贪心、动规、图论等等，目前题目中还未出现过，在C基础扎实（递归、字符串操作、排序、查找等）之后，大家可以学习一下，以防万一。#数据结构目前考试中未出现过树的知识，考察较多的为与C语言共有知识，如链表、数组等，此本书也是作为在基础扎实之后的辅助书籍。	1.jpg#2.jpg#3.jpg#4.jpg#5.jpg	C++面向对象程序设计	谭浩强	第三版	清华大学	复试上机为CCF原题，C++熟练之后在在线网址刷题练习即可	6.jpg	2022-1.xls	2022-1.xls	-	-	-
信息科学与工程学部	西海岸校区	电子信息	085400	电子信息（计算机技术-产教融合方向）	专硕	10000		三年	属于计算机科学与技术学院(系)，研二去企业实习，学位一样	101思想政治理论	204英语二	302数学二	408计算机综合	F0211程序设计实践（上机）		C程序设计#软件工程导论#C程序设计试题汇编#计算机算法设计与分析#数据结构	谭浩强#张海藩#谭浩强#王晓东#严蔚敏，吴伟民	第五版#第六版#第三版#第五版#-	清华大学#清华大学#清华大学#中国工信出版社#清华大学	C++也是可以的，看个人情况#大纲中只考6、7、13章，大家要有针对性的复习，基本不会超出考纲。#拿来练手的题库，往年有很多原题，近几年出现的少了，但是可以增强刷题能力。#算法在大纲中有提到，包括贪心、动规、图论等等，目前题目中还未出现过，在C基础扎实（递归、字符串操作、排序、查找等）之后，大家可以学习一下，以防万一。#数据结构目前考试中未出现过树的知识，考察较多的为与C语言共有知识，如链表、数组等，此本书也是作为在基础扎实之后的辅助书籍。	1.jpg#2.jpg#3.jpg#4.jpg#5.jpg	C++面向对象程序设计	谭浩强	第三版	清华大学	复试上机为CCF原题，C++熟练之后在在线网址刷题练习即可	6.jpg	2022-10.xls	2022-10.xls	-	-	-
信息科学与工程学部	西海岸校区	电子信息	085400	电子信息（计算机技术-三亚产教融合方向）	专硕	10000		三年	属于计算机科学与技术学院(系)，三亚海洋研究院计划，研二去企业实习，学位一样	101思想政治理论	204英语二	302数学二	408计算机综合	F0211程序设计实践（上机）		C程序设计#软件工程导论#C程序设计试题汇编#计算机算法设计与分析#数据结构	谭浩强#张海藩#谭浩强#王晓东#严蔚敏，吴伟民	第五版#第六版#第三版#第五版#-	清华大学#清华大学#清华大学#中国工信出版社#清华大学	C++也是可以的，看个人情况#大纲中只考6、7、13章，大家要有针对性的复习，基本不会超出考纲。#拿来练手的题库，往年有很多原题，近几年出现的少了，但是可以增强刷题能力。#算法在大纲中有提到，包括贪心、动规、图论等等，目前题目中还未出现过，在C基础扎实（递归、字符串操作、排序、查找等）之后，大家可以学习一下，以防万一。#数据结构目前考试中未出现过树的知识，考察较多的为与C语言共有知识，如链表、数组等，此本书也是作为在基础扎实之后的辅助书籍。	1.jpg#2.jpg#3.jpg#4.jpg#5.jpg	C++面向对象程序设计	谭浩强	第三版	清华大学	复试上机为CCF原题，C++熟练之后在在线网址刷题练习即可	6.jpg	2022-11.xls	2022-11.xls	-	-	-
信息科学与工程学部	西海岸校区	电子信息	085400	电子信息（计算机技术-万里学院联合培养方向）	专硕	10000		三年	属于计算机科学与技术学院(系)	101思想政治理论	204英语二	302数学二	408计算机综合	F0211程序设计实践（上机）		C程序设计#软件工程导论#C程序设计试题汇编#计算机算法设计与分析#数据结构	谭浩强#张海藩#谭浩强#王晓东#严蔚敏，吴伟民	第五版#第六版#第三版#第五版#-	清华大学#清华大学#清华大学#中国工信出版社#清华大学	C++也是可以的，看个人情况#大纲中只考6、7、13章，大家要有针对性的复习，基本不会超出考纲。#拿来练手的题库，往年有很多原题，近几年出现的少了，但是可以增强刷题能力。#算法在大纲中有提到，包括贪心、动规、图论等等，目前题目中还未出现过，在C基础扎实（递归、字符串操作、排序、查找等）之后，大家可以学习一下，以防万一。#数据结构目前考试中未出现过树的知识，考察较多的为与C语言共有知识，如链表、数组等，此本书也是作为在基础扎实之后的辅助书籍。	1.jpg#2.jpg#3.jpg#4.jpg#5.jpg	C++面向对象程序设计	谭浩强	第三版	清华大学	复试上机为CCF原题，C++熟练之后在在线网址刷题练习即可	6.jpg	2022-12.xls	2022-12.xls	-	-	-
信息科学与工程学部	西海岸校区	电子信息	085400	电子信息（网络空间安全与保密方向）	专硕	10000		三年	属于计算机科学与技术学院(系)	101思想政治理论	204英语二	302数学二	940计算机网络与安全	F0216程序设计与攻防实践（上机）		计算机网络#计算机安全原理与实践	谢希仁#威廉·斯托林斯	第七版#第四版	中国工信出版社#机械工业出版社	大纲中不要求第8章，其余章节在大纲中均有体现。#大纲中要求第1.2.3.4.5.6.7.8.9.10.11.12.22.23章，以理解背诵为主。	11.jpg#12.jpg	-	-	-	-	-	-	2022-2.xls#2021-2.xls	2022-2.xls#2021-2.xls#2020-2.xls	-	30#35#30#-#940共293人#333#7.1:1	30#64#56(含产教26人)#-#940共189人#264#3.3:1
信息科学与工程学部	西海岸校区	电子信息	085400	电子信息（软件工程方向）	专硕	10000		三年	属于计算机科学与技术学院(系)	101思想政治理论	204英语二	302数学二	408计算机综合	F0211程序设计实践（上机）		C程序设计#软件工程导论#C程序设计试题汇编#计算机算法设计与分析#数据结构	谭浩强#张海藩#谭浩强#王晓东#严蔚敏，吴伟民	第五版#第六版#第三版#第五版#-	清华大学#清华大学#清华大学#中国工信出版社#清华大学	C++也是可以的，看个人情况#大纲中只考6、7、14章，大家要有针对性的复习，基本不会超出考纲。#拿来练手的题库，往年有很多原题，近几年出现的少了，但是可以增强刷题能力。#算法在大纲中有提到，包括贪心、动规、图论等等，目前题目中还未出现过，在C基础扎实（递归、字符串操作、排序、查找等）之后，大家可以学习一下，以防万一。#数据结构目前考试中未出现过树的知识，考察较多的为与C语言共有知识，如链表、数组等，此本书也是作为在基础扎实之后的辅助书籍。	1.jpg#2.jpg#3.jpg#4.jpg#6.jpg	C++面向对象程序设计	谭浩强	第三版	清华大学	复试上机为CCF原题，C++熟练之后在在线网址刷题练习即可	6.jpg	2022-3.xls	2022-3.xls	-	-	-
信息科学与工程学部	西海岸校区	电子信息	085400	电子信息（人工智能方向）	专硕	10000		三年	属于计算机科学与技术学院(系)	101思想政治理论	204英语二	302数学二	408计算机综合	F0211程序设计实践（上机）		C程序设计#软件工程导论#C程序设计试题汇编#计算机算法设计与分析#数据结构	谭浩强#张海藩#谭浩强#王晓东#严蔚敏，吴伟民	第五版#第六版#第三版#第五版#-	清华大学#清华大学#清华大学#中国工信出版社#清华大学	C++也是可以的，看个人情况#大纲中只考6、7、15章，大家要有针对性的复习，基本不会超出考纲。#拿来练手的题库，往年有很多原题，近几年出现的少了，但是可以增强刷题能力。#算法在大纲中有提到，包括贪心、动规、图论等等，目前题目中还未出现过，在C基础扎实（递归、字符串操作、排序、查找等）之后，大家可以学习一下，以防万一。#数据结构目前考试中未出现过树的知识，考察较多的为与C语言共有知识，如链表、数组等，此本书也是作为在基础扎实之后的辅助书籍。	1.jpg#2.jpg#3.jpg#4.jpg#7.jpg	C++面向对象程序设计	谭浩强	第三版	清华大学	复试上机为CCF原题，C++熟练之后在在线网址刷题练习即可	6.jpg	2022-4.xls	2022-4.xls	-	-	-
信息科学与工程学部	西海岸校区	农业	095136	农业工程与信息技术	专硕	10000		三年	农业学位，属于计算机科学与技术学院(系)	101思想政治理论	204英语二	341农业知识综合三	930程序设计基础	F0213农业工程与信息技术概论		C程序设计#数据库概论#计算机网络#计算机学科概论	谭浩强#王珊#谢希仁#胡明，王红梅	第五版#第五版#第七版#第二版	清华大学#高等教育出版社#中国工信出版社#清华大学	930程序设计基础用书，非常棒的一本教材，数组，函数，文件部分讲解的很好，而且是每年的必考题。#341农业知识综合三用书，把书本的概念吃透，大题每年都会考画E-R图，写SQL语句。#341农业知识综合三用书，网络的七层，每一层的功能都要清楚，掌握和七层和四层的区别。#341农业知识综合三用书，每个学科都要了解一些相关的知识，数据结构的排序一定要会，每年都考。	31.jpg#32.jpg#33.jpg#34.jpg	-	-	-	-	-	-	2022-5.xls#2021-5.xls	2022-5.xls#2021-5.xls#2020-5.xls	-	11#16#14#-#118#362#8.4:1	10#27#23#-#38#253#1.7:1
信息科学与工程学部	西海岸校区	计算机科学与技术	0812Z1	保密科学与技术	学硕	8000		三年	属于计算机科学与技术学院(系)	101思想政治理论	201英语一	301数学一	940计算机网络与安全	F0216程序设计与攻防实践（上机）		计算机网络#计算机安全原理与实践	谢希仁#威廉·斯托林斯	第七版#第四版	中国工信出版社#机械工业出版社	大纲中不要求第8章，其余章节在大纲中均有体现。#大纲中要求第1.2.3.4.5.6.7.8.9.10.11.12.22.23章，以理解背诵为主。	11.jpg#12.jpg	-						2022-6.xls#2021-6.xls	2022-6.xls#2021-6.xls#2020-6.xls	-	10#6#11#0#940共293人#263#7.1:1	2#6#5#-#940共189人#282#-
信息科学与工程学部	西海岸校区	软件工程	083500	软件工程	学硕	8000		三年	属于计算机科学与技术学院(系)	101思想政治理论	201英语一	301数学一	408计算机综合	F0211程序设计实践（上机）		-	-	-	-	-	-	-	-	-	-	-	-	2022-7.xls#2021-7.xls	2022-7.xls#2021-7.xls#2020-7.xls	-	12#9#12#0#980共211人#292#6.4:1	11#12#10#-#69#305#6.9:1
