招生学院	所在校区	一级学科	报考专业代码	二级学科	专硕or学硕	一年学费	排名方式	专业学制	专业说明	政治	外语	业务课一	业务课二	科目一	科目二	初试参考书名称	作者	版本号	出版社	说明	初试参考书图片名称	复试参考书名称	作者	版本号	出版社	说明	复试参考书图片名称	拟录取名单	复试名单	2021	2020	2019	2018
海洋与大气学院	崂山校区	0706大气科学	070601	气象学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	302数学二	970大气科学综合考试	F0101大气科学专业综合	-	动力气象学#天气学原理与方法#大气物理学	吕美仲#朱乾根 林锦瑞#盛裴轩	-#第四版#第二版	气象出版社#气象出版社#北京大学出版社	如果有足够多课余时间的话，可以看看b站上王启老师的动力气象课，因为动力气象学是天气学原理的本质，可以帮助你了解天气学原理的现象，争取在暑假前可以看完。#建议自己做笔记，可以结合之前上课的PPT（或南大的ppt）做每个章节的梳理。#书本内容虽然看起来很多，但实际考试的内容不深	1.jpg#2.jpg#3.jpg	流体力学	孙赵顺 崔桂香	第三版	清华大学出版社	结合初试复习教材、备考资料和复试大纲来复习	4.jpg	2021-qxx.xls	2021-dqkx.xls#2020-dqkx.xls	9#27#22#18.5%#-#306#-	23#12#14#0#-#288#-	18#-#-#-#30#290#1.7:1	12#-#-#-#36#280#3:1
海洋与大气学院	崂山校区	0706大气科学	070602	大气物理学与大气环境	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	301数学一	970大气科学综合考试	F0101大气科学专业综合	-	动力气象学#天气学原理与方法#大气物理学	吕美仲#朱乾根 林锦瑞#盛裴轩	-#第四版#第二版	气象出版社#气象出版社#北京大学出版社	如果有足够多课余时间的话，可以看看b站上王启老师的动力气象课，因为动力气象学是天气学原理的本质，可以帮助你了解天气学原理的现象，争取在暑假前可以看完。#建议自己做笔记，可以结合之前上课的PPT（或南大的ppt）做每个章节的梳理。#书本内容虽然看起来很多，但实际考试的内容不深	1.jpg#2.jpg#3.jpg	流体力学	孙赵顺 崔桂香	第三版	清华大学出版社	结合初试复习教材、备考资料和复试大纲来复习	4.jpg	2021-dqwlxydqhj.xls	2021-dqkx.xls#2020-dqkx.xls	9#1#1#0#-#306#-	9#0#2#0#-#288#-	10#-#-#-#14#290#1.4:1	14#-#-#-#13#280#1:1
海洋与大气学院	崂山校区	0707海洋科学	070701	物理海洋学	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	302数学二	803流体力学	F0102海洋科学综合考试	-	流体力学	吴望一	-	北京大学出版社	难度较大，基础一般的同学建议提前做准备	6.jpg	-	-	-	-	-	-	2021-wlhyx.xls	2021-wlhyx.xls#2020-wlhyx.xls	24#33#30#9.1%#-#313#-	25#40#41#0#-#288#-	20#-#-#-#60#290#3:1	16#-#-#-#46#308#2.9:1
海洋与大气学院	崂山校区	0707海洋科学	0707Z2	海洋资源与权益综合管理	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	302数学二	804海洋学	F0103海洋管理综合考试	-	海洋科学导论	冯士筰	-	高等教育出版社	结合考试大纲和历年真题学习课本	7.jpg	-	-	-	-	-	-	2021-hyzyyqyzhgl.xls	2021-hyzyyqyzhgl.xls#2020-hyzyyqyzhgl.xls	7#9#7#22.2%#-#337#-	9#7#8#0#-#288#-	4#-#-#-#10#290#2.5:1	4#-#-#-#9#280#2.3:1
海洋与大气学院	崂山校区	0857资源与环境	085700	资源环境海洋学	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	302数学二	985海洋资源与环境综合考试	F0104资源环境海洋学综合	-	-	-	-	-	-	-	-	-	-	-	-	-	2021-zyyhjzyhjhyx.xls	2021-zyyhj.xls#-	20#2#8#0#-#263#-	-	-	-
海洋与大气学院	崂山校区	0857资源与环境	085700	应用海洋学	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	302数学二	985海洋资源与环境综合考试	F0104资源环境海洋学综合	-	-	-	-	-	-	-	-	-	-	-	-	-	2021-zyyhjyyhyx.xls	-#-	10#0#7#0#-#263#-	-	-	-
信息科学与工程学部	崂山校区	0702物理学	070205	凝聚态物理	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	638量子力学 	806普通物理	F0201现代物理基础与科技英语	-	量子力学#物理学	曾谨言#马文蔚	第五版#第六版	科学出版社#高等教育出版社	638参考教材#806参考教材，前两章的公式一定要认真记，这属于后面章节的基础。第三到第九章，这几个章节需要认真去看一下。第三、四的原理和公式比较多，有时会联合起来出大题。第五、六章重点掌握电场和电势的计算，课本例题上有一些典型的例题，要认真做完，答案也要背过。九、十章节有好几年没出大题，这两章难度并不是很大，但是也要认真掌握。第十到第十二章必考计算大题，所以一定要认真对待。后面的第十四、十五、十六章节主要是一些概念和简答的复习。	23.jpg#2.jpg	-	-	-	-	-	-	2021-njtwl.xls	2021-wlx.xls#2020-wlx.xls	7#9#7#22.22%#-#280#-	4#1#7#0#-#280#-	3#-#-#-#9#290#3	2#-#-#-#8#280#4:1
信息科学与工程学部	崂山校区	0702物理学	070207	光学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	638量子力学 	806普通物理	F0201现代物理基础与科技英语	-	量子力学#物理学	曾谨言#马文蔚	第五版#第六版	科学出版社#高等教育出版社	638参考教材#806参考教材，前两章的公式一定要认真记，这属于后面章节的基础。第三到第九章，这几个章节需要认真去看一下。第三、四的原理和公式比较多，有时会联合起来出大题。第五、六章重点掌握电场和电势的计算，课本例题上有一些典型的例题，要认真做完，答案也要背过。九、十章节有好几年没出大题，这两章难度并不是很大，但是也要认真掌握。第十到第十二章必考计算大题，所以一定要认真对待。后面的第十四、十五、十六章节主要是一些概念和简答的复习。	23.jpg#2.jpg	-	-	-	-	-	-	2021-gx.xls	2021-wlx.xls#2020-wlx.xls	8#3#9#0#-#280#-	6#4#6#0#-#288#-	3#-#-#-#3#290#1:1	5#-#-#-#6#318#1.2:1
信息科学与工程学部	崂山校区	0702物理学	070208	无线电物理	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	638量子力学 	806普通物理	F0201现代物理基础与科技英语	-	量子力学#物理学	曾谨言#马文蔚	第五版#第六版	科学出版社#高等教育出版社	638参考教材#806参考教材，前两章的公式一定要认真记，这属于后面章节的基础。第三到第九章，这几个章节需要认真去看一下。第三、四的原理和公式比较多，有时会联合起来出大题。第五、六章重点掌握电场和电势的计算，课本例题上有一些典型的例题，要认真做完，答案也要背过。九、十章节有好几年没出大题，这两章难度并不是很大，但是也要认真掌握。第十到第十二章必考计算大题，所以一定要认真对待。后面的第十四、十五、十六章节主要是一些概念和简答的复习。	23.jpg#2.jpg	-	-	-	-	-	-	2021-wxdwl.xls	2021-wlx.xls#2020-wlx.xls	3#0#2#0#-#280#-	3#0#4#0#-#288#-	-#-#-#-#-#-#-	-#-#-#-#-#-#-
信息科学与工程学部	崂山校区	0702物理学	070206	声学	学硕	8000	初试成绩按该专业排名	三年	-	101思想政治理论	201英语一	301数学一 	953声学基础	F0202数字信号处理	-	声学基础	杜功焕	第三版	南京大学出版社	-	3.jpg	-	-	-	-	-	-	2021-sx.xls	2021-sx.xls#2020-sx.xls	8#4#5#0#-#280#-	6#8#11#0#-#288#-	6#-#-#-#18#290#3:1	1#-#-#-#6#280#6:1
